Date,Time,Site,Location,Client Location ID,Device,Country,Region,Segment,Cost,Currency,Weight,Unit,Portions,Quantity,Duration,Food Item,Food Item Category,Loss Reason,Source,Disposition,Container,Stage of Processing,Operator,Event Order No.,Edited
2024-11-06,21:21:34,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.05,USD,4.01,lb,,1.0,11,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:21:17,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,19.22,USD,4.27,lb,,1.0,28,Alternative Meat,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:20:38,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.62,USD,7.40,lb,,1.0,8,Vegetables,Fruit-Vegetable,Presented - Not Sold,Pasta Station,Compost,Full Hotel Pan (1-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:20:17,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,7.91,USD,4.80,lb,,1.0,11,Tofu,Meat-Protein,Presented - Not Sold,Pasta Station,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:19:56,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.82,USD,5.91,lb,,1.0,9,Pasta,Starch,Presented - Not Sold,Pasta Station,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:19:44,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.58,USD,4.65,lb,,1.0,17,Pasta,Starch,Presented - Not Sold,Pasta Station,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:19:15,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.43,USD,3.20,lb,,1.0,9,Vegetables,Fruit-Vegetable,Presented - Not Sold,Pasta Station,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:18:55,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.51,USD,7.25,lb,,1.0,12,Vegetables,Fruit-Vegetable,Presented - Not Sold,Pasta Station,Compost,Full Hotel Pan (1-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:18:42,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.31,USD,2.56,lb,,1.0,16,Potatoes,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:18:10,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.76,USD,2.32,lb,,1.0,20,Vegetables,Fruit-Vegetable,Presented - Not Sold,Bear Fit,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:17:42,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.28,USD,0.43,lb,,1.0,17,Beans,Starch,Presented - Not Sold,Bear Fit,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:17:24,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.32,USD,0.24,lb,,1.0,16,Beef - Ground,Meat-Protein,Presented - Not Sold,Bear Fit,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:16:57,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.06,USD,6.00,lb,,1.0,17,Potatoes,Starch,Presented - Not Sold,Bear Fit,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,21:16:08,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,65.53,USD,9.47,lb,,1.0,14,Beef - Whole,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,15:29:41,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.58,USD,5.87,lb,,1.0,28,Rice,Starch,Overproduction,Center Plate,Compost,Full Hotel Pan (6-inch) Plastic,Pre-Consumer,SC Marco,,0,
2024-11-06,15:26:20,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,51.01,USD,10.63,lb,,1.0,54,Chicken - Boneless,Meat-Protein,Overproduction,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,SC Marco,,0,
2024-11-06,10:26:02,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,16.56,USD,3.68,lb,,1.0,20,Alternative Meat,Meat-Protein,Mishandled,Big C Vegan,Compost,Sheet/Roasting Pan,Pre-Consumer,FSW,,0,
2024-11-06,10:25:12,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,19.17,USD,4.26,lb,,1.0,23,Alternative Meat,Meat-Protein,Mishandled,Center Plate,Compost,Sheet/Roasting Pan,Pre-Consumer,Cook,,0,
2024-11-06,10:24:27,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,27.36,USD,6.08,lb,,1.0,21,Alternative Meat,Meat-Protein,Mishandled,Big C Vegan,Compost,Sheet/Roasting Pan,Pre-Consumer,SC Marco,,0,
2024-11-06,10:23:39,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.67,USD,1.28,lb,,1.0,28,Turkey,Meat-Protein,Mishandled,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,SC Stefan,,0,
2024-11-06,10:22:47,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,30.96,USD,6.88,lb,,1.0,20,Alternative Meat,Meat-Protein,Mishandled,Big C Vegan,Compost,Sheet/Roasting Pan,Pre-Consumer,Cook,,0,
2024-11-06,10:21:58,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.54,USD,2.03,lb,,1.0,28,Vegetables,Fruit-Vegetable,Overproduction,Center Plate,Compost,Shotgun Pan (6-inch) Metal,Pre-Consumer,Student,,0,
2024-11-06,10:21:06,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.90,USD,7.65,lb,,1.0,32,Potatoes,Starch,Mishandled,Big C Vegan,Compost,Sheet/Roasting Pan,Pre-Consumer,Cook,,0,
2024-11-06,10:20:14,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.71,USD,5.31,lb,,1.0,24,Potatoes,Starch,Mishandled,Big C Vegan,Compost,Sheet/Roasting Pan,Pre-Consumer,SC Marco,,0,
2024-11-06,09:19:00,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,26.87,USD,17.91,lb,,1.0,22,Sauce,Soup-Sauce-Gravy,Mishandled,Pastas,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,Cook,,0,
2024-11-06,09:18:14,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,7.06,USD,3.68,lb,,1.0,18,Pancake,Bread-Cereal,Mishandled,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,SC Marco,,0,
2024-11-06,09:17:25,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,49.82,USD,11.07,lb,,1.0,26,Alternative Meat,Meat-Protein,Mishandled,Big C Vegan,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Cook,,0,
2024-11-06,09:16:31,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,10.68,USD,5.57,lb,,1.0,29,Pancake,Bread-Cereal,Mishandled,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-06,09:15:23,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.37,USD,6.70,lb,,1.0,47,Rice,Starch,Mishandled,Big C Vegan,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,SC Marco,,0,
2024-11-05,21:31:11,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.40,USD,3.60,lb,,1.0,28,Sauce,Soup-Sauce-Gravy,Presented - Not Sold,Pizza and Pasta,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:30:32,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.67,USD,2.71,lb,,1.0,27,Pasta,Starch,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:29:51,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.77,USD,2.33,lb,,1.0,24,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:25:19,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.48,USD,2.61,lb,,1.0,27,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:24:09,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.11,USD,3.16,lb,,1.0,27,Mixed Starch,Mixed Foods,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:23:28,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,8.06,USD,4.89,lb,,1.0,32,Tofu,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:22:32,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,44.74,USD,8.15,lb,,1.0,60,Beef - Ground,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:20:41,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.44,USD,1.89,lb,,1.0,20,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:20:12,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,26.44,USD,5.51,lb,,1.0,23,Chicken - Boneless,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,21:19:30,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,13.92,USD,3.48,lb,,1.0,16,Pizza w Toppings,Mixed Foods,Presented - Not Sold,Pizza and Pasta,Compost,No Pan,Pre-Consumer,FSW,,0,
2024-11-05,21:19:02,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,11.56,USD,2.89,lb,,1.0,24,Pizza w Toppings,Mixed Foods,Presented - Not Sold,Pizza and Pasta,Compost,No Pan,Pre-Consumer,FSW,,0,
2024-11-05,21:18:23,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.72,USD,1.76,lb,,1.0,79,Pizza w Cheese,Mixed Foods,Presented - Not Sold,Center Plate,Compost,No Pan,Pre-Consumer,FSW,,0,
2024-11-05,18:41:11,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,7.39,USD,7.50,lb,,1.0,15,Pasta,Starch,Timed or Temp'd Out,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,18:35:47,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.94,USD,5.02,lb,,1.0,15,Pasta,Starch,Spoiled,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,12:34:45,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,25.92,USD,6.07,lb,,1.0,40,Cookie,Desserts,Quality,Dessert Station,Compost,Half Sheet,Pre-Consumer,Student,,0,
2024-11-05,12:32:51,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,22.25,USD,5.21,lb,,1.0,42,Cookie,Desserts,Quality,Dessert Station,Compost,Half Sheet,Pre-Consumer,FSW,,0,
2024-11-05,10:26:05,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.42,USD,2.79,lb,,1.0,31,Potatoes,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,10:23:21,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.10,USD,0.30,lb,,1.0,22,Turkey,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,10:22:03,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.98,USD,3.74,lb,,1.0,18,Eggs,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,10:21:39,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,9.26,USD,4.96,lb,,1.0,18,Eggs,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,10:20:49,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.66,USD,4.90,lb,,1.0,38,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-05,10:19:38,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.61,USD,3.43,lb,,1.0,29,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,21:18:01,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.88,USD,2.47,lb,,1.0,11,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Donation,Donation Pan,Pre-Consumer,FSW,,0,
2024-11-04,21:16:27,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,9.05,USD,9.19,lb,,1.0,18,Pasta,Starch,Presented - Not Sold,Center Plate,Donation,Donation Pan,Pre-Consumer,Student,,0,
2024-11-04,21:15:59,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.10,USD,5.40,lb,,1.0,22,Vegetables,Fruit-Vegetable,Overproduction,Center Plate,Compost,4in Oval,Pre-Consumer,Student,,0,
2024-11-04,21:15:23,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,41.58,USD,9.24,lb,,1.0,23,Alternative Meat,Meat-Protein,Overproduction,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-04,21:14:32,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.61,USD,5.90,lb,,1.0,22,Rice,Starch,Overproduction,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-04,20:56:17,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,12.60,USD,2.80,lb,,1.0,26,Alternative Meat,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-04,20:55:37,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.44,USD,3.21,lb,,1.0,28,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Student,,0,
2024-11-04,20:55:08,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.14,USD,6.46,lb,,1.0,34,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,Austin daCook,,0,
2024-11-04,18:36:02,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,59.17,USD,8.55,lb,,1.0,41,Beef - Whole,Meat-Protein,Mishandled,Center Plate,Compost,4in Oval,Pre-Consumer,FSW,,0,
2024-11-04,16:29:58,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,2.68,USD,3.52,lb,,1.0,19,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,16:28:49,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.06,USD,1.12,lb,,1.0,19,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,16:28:09,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,42.44,USD,7.73,lb,,1.0,30,Beef - Ground,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:23:56,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.51,USD,0.81,lb,,1.0,35,Eggs,Dairy & Eggs,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:23:11,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.40,USD,4.47,lb,,1.0,19,Vegetables,Fruit-Vegetable,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:22:48,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,10.31,USD,2.29,lb,,1.0,29,Alternative Meat,Meat-Protein,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:22:03,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,0.79,USD,1.55,lb,,1.0,39,Potatoes,Starch,Presented - Not Sold,Center Plate,Compost,Full Hotel Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:21:02,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,6.06,USD,3.79,lb,,1.0,18,Fruit,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Soup Container-Med,Pre-Consumer,FSW,,0,
2024-11-04,10:18:27,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.49,USD,1.80,lb,,1.0,20,Hot Cereal,Bread-Cereal,Presented - Not Sold,Center Plate,Compost,Soup Container-Med,Pre-Consumer,FSW,,0,
2024-11-04,10:17:58,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,4.34,USD,1.74,lb,,1.0,27,Hot Cereal,Bread-Cereal,Presented - Not Sold,Center Plate,Compost,Soup Container-Med,Pre-Consumer,FSW,,0,
2024-11-04,10:14:36,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.08,USD,2.72,lb,,1.0,28,Eggs,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:13:54,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.07,USD,2.54,lb,8.466667,1.0,21,Yogurt,Dairy & Eggs,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:12:56,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,3.28,USD,3.45,lb,,1.0,17,Rice,Starch,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:12:23,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.62,USD,2.13,lb,,1.0,19,Vegetables,Fruit-Vegetable,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,10:11:57,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,5.11,USD,0.93,lb,,1.0,26,Beef - Ground,Meat-Protein,Presented - Not Sold,Center Plate,Compost,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-04,09:39:51,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.64,USD,2.16,lb,,1.0,24,Vegetables,Fruit-Vegetable,Presented - Not Sold,Big C Vegan,Compost,Shotgun Pan (4-inch) Metal,Pre-Consumer,FSW,,0,
2024-11-03,21:29:51,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,8.41,USD,8.54,lb,,1.0,36,Pasta,Starch,Presented - Not Sold,Center Plate,Donation,2in Oval,Pre-Consumer,FSW,,0,
2024-11-03,21:28:37,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,25.79,USD,5.73,lb,,1.0,61,Alternative Meat,Meat-Protein,Presented - Not Sold,Big C Vegan,Donation,2in Oval,Pre-Consumer,FSW,,0,
2024-11-03,21:25:16,University of California - Berkeley,Cafe 3,,Cafe 3 - LC0456,US,NORAM,College/University,1.52,USD,2.99,lb,,1.0,31,Potatoes,Starch,Presented - Not Sold,Center Plate,Donation,Shotgun Pan (2.5-inch) Metal,Pre-Consumer,FSW,,0,
